"","ensembl_gene_id","ensembl_transcript_id","hgnc_symbol"
"16271","ENSG00000049540","ENST00000380576","ELN"
"16272","ENSG00000049540","ENST00000621115","ELN"
"16273","ENSG00000049540","ENST00000358929","ELN"
"16274","ENSG00000105793","ENST00000257659","GTPBP10"
"16275","ENSG00000105793","ENST00000222511","GTPBP10"
"16276","ENSG00000164548","ENST00000297071","TRA2A"
"16277","ENSG00000164548","ENST00000392502","TRA2A"
"16278","ENSG00000164548","ENST00000538367","TRA2A"
"16279","ENSG00000122691","ENST00000242261","TWIST1"
"16280","ENSG00000166997","ENST00000262932","CNPY4"
"16281","ENSG00000136193","ENST00000425819","SCRN1"
"16282","ENSG00000136193","ENST00000426154","SCRN1"
"16283","ENSG00000106571","ENST00000395925","GLI3"
"16284","ENSG00000157224","ENST00000287916","CLDN12"
"16285","ENSG00000146674","ENST00000275521","IGFBP3"
"16286","ENSG00000146674","ENST00000381083","IGFBP3"
"16287","ENSG00000156928","ENST00000466681","MALSU1"
"16288","ENSG00000169193","ENST00000307471","CCDC126"
"16289","ENSG00000164647","ENST00000297205","STEAP1"
"16290","ENSG00000157214","ENST00000394626","STEAP2"
"16291","ENSG00000157214","ENST00000394632","STEAP2"
"16292","ENSG00000157214","ENST00000394621","STEAP2"
"16293","ENSG00000006576","ENST00000422959","PHTF2"
"16294","ENSG00000006576","ENST00000307305","PHTF2"
"16295","ENSG00000006576","ENST00000415251","PHTF2"
"16296","ENSG00000006576","ENST00000450574","PHTF2"
"16297","ENSG00000187257","ENST00000334955","RSBN1L"
"16298","ENSG00000169919","ENST00000304895","GUSB"
"16299","ENSG00000169919","ENST00000421103","GUSB"
"16300","ENSG00000006715","ENST00000310301","VPS41"
"16301","ENSG00000006715","ENST00000395969","VPS41"
"16302","ENSG00000070882","ENST00000313367","OSBPL3"
"16303","ENSG00000070882","ENST00000396431","OSBPL3"
"16304","ENSG00000070882","ENST00000396429","OSBPL3"
"16305","ENSG00000070882","ENST00000409069","OSBPL3"
"16306","ENSG00000136205","ENST00000311160","TNS3"
"16307","ENSG00000197343","ENST00000320583","ZNF655"
"16308","ENSG00000197343","ENST00000394163","ZNF655"
"16309","ENSG00000197343","ENST00000357864","ZNF655"
"16310","ENSG00000197343","ENST00000424881","ZNF655"
"16311","ENSG00000146676","ENST00000395699","PURB"
"16312","ENSG00000196715","ENST00000360768","VKORC1L1"
"16313","ENSG00000196715","ENST00000434382","VKORC1L1"
"16314","ENSG00000169902","ENST00000304842","TPST1"
"16315","ENSG00000106624","ENST00000223357","AEBP1"
